@RELATION Sasmos
@ATTRIBUTE class0 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class1 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class2 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class3 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class4 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class5 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class6 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class7 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class8 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class9 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class10 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}

@DATA
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,?,?
xwriatikh,saganaki,pswmiMauro,xumos,kaisara,aggourontomata,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,froutosalata,patates,turokroketes,?,?,?,?,?
guroKotopoulo,saganaki,marouli,pswmiLeuko,xumos,aggourontomata,patates,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,froutosalata,patates,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,?,?,?,?,?,?
anapsuktiko,aggourontomata,giaourtiMeli,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,aggourontomata,patates,giaourtiMeli,?
marouli,anapsuktiko,pagwto,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,froutosalata,patates,turokroketes,pagwto,?,?,?,?
anapsuktiko,aggourontomata,turokroketes,pagwto,?,?,?,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,nero,xumos,patates,turokroketes,?,?,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,patates,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,nero,kaisara,patates,turokroketes,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,giaourtiMeli,?,?,?,?
saganaki,xumos,?,?,?,?,?,?,?,?,?
xumos,aggourontomata,?,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,saganaki,pswmiMauro,pswmiPolusporo,anapsuktiko,turokroketes,pagwto,milkshake,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,turokroketes,pagwto,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,giaourtiMeli,?,?,?
kalamari,xwriatikh,marouli,mpura,anapsuktiko,nero,patates,turokroketes,giaourtiMeli,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,froutosalata,patates,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,nero,patates,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,aggourontomata,patates,?,?,?,?,?,?
pswmiMauro,xumos,kaisara,pagwto,?,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,anapsuktiko,nero,patates,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,nero,patates,milkshake,?,?
kalamari,xwriatikh,marouli,mpura,nero,patates,pagwto,?,?,?,?
nero,froutosalata,patates,pagwto,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,kaisara,patates,?,?,?,?
guroKotopoulo,kotompeikon,nero,pagwto,giaourtiMeli,?,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,turokroketes,?,?,?,?
guroKotopoulo,kotompeikon,nero,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,marouli,anapsuktiko,turokroketes,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,patates,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,pagwto,giaourtiMeli,?,?
